,Time_id,The_date,The_day,The_month,The_year
0,20230101,2023-01-01,01,01,2023
1,20230102,2023-01-02,02,01,2023
2,20230103,2023-01-03,03,01,2023
3,20230104,2023-01-04,04,01,2023
4,20230105,2023-01-05,05,01,2023
5,20230106,2023-01-06,06,01,2023
6,20230107,2023-01-07,07,01,2023
7,20230108,2023-01-08,08,01,2023
8,20230109,2023-01-09,09,01,2023
9,20230110,2023-01-10,10,01,2023
10,20230111,2023-01-11,11,01,2023
11,20230112,2023-01-12,12,01,2023
12,20230113,2023-01-13,13,01,2023
13,20230114,2023-01-14,14,01,2023
14,20230115,2023-01-15,15,01,2023
15,20230116,2023-01-16,16,01,2023
16,20230117,2023-01-17,17,01,2023
17,20230118,2023-01-18,18,01,2023
18,20230119,2023-01-19,19,01,2023
19,20230120,2023-01-20,20,01,2023
20,20230121,2023-01-21,21,01,2023
21,20230122,2023-01-22,22,01,2023
22,20230123,2023-01-23,23,01,2023
23,20230124,2023-01-24,24,01,2023
24,20230125,2023-01-25,25,01,2023
25,20230126,2023-01-26,26,01,2023
26,20230127,2023-01-27,27,01,2023
27,20230128,2023-01-28,28,01,2023
28,20230129,2023-01-29,29,01,2023
29,20230130,2023-01-30,30,01,2023
30,20230131,2023-01-31,31,01,2023
31,20230201,2023-02-01,01,02,2023
32,20230202,2023-02-02,02,02,2023
33,20230203,2023-02-03,03,02,2023
34,20230204,2023-02-04,04,02,2023
35,20230205,2023-02-05,05,02,2023
36,20230206,2023-02-06,06,02,2023
37,20230207,2023-02-07,07,02,2023
38,20230208,2023-02-08,08,02,2023
39,20230209,2023-02-09,09,02,2023
40,20230210,2023-02-10,10,02,2023
41,20230211,2023-02-11,11,02,2023
42,20230212,2023-02-12,12,02,2023
43,20230213,2023-02-13,13,02,2023
44,20230214,2023-02-14,14,02,2023
45,20230215,2023-02-15,15,02,2023
46,20230216,2023-02-16,16,02,2023
47,20230217,2023-02-17,17,02,2023
48,20230218,2023-02-18,18,02,2023
49,20230219,2023-02-19,19,02,2023
50,20230220,2023-02-20,20,02,2023
51,20230221,2023-02-21,21,02,2023
52,20230222,2023-02-22,22,02,2023
53,20230223,2023-02-23,23,02,2023
54,20230224,2023-02-24,24,02,2023
55,20230225,2023-02-25,25,02,2023
56,20230226,2023-02-26,26,02,2023
57,20230227,2023-02-27,27,02,2023
58,20230228,2023-02-28,28,02,2023
59,20230301,2023-03-01,01,03,2023
60,20230302,2023-03-02,02,03,2023
61,20230303,2023-03-03,03,03,2023
62,20230304,2023-03-04,04,03,2023
63,20230305,2023-03-05,05,03,2023
64,20230306,2023-03-06,06,03,2023
65,20230307,2023-03-07,07,03,2023
66,20230308,2023-03-08,08,03,2023
67,20230309,2023-03-09,09,03,2023
68,20230310,2023-03-10,10,03,2023
69,20230311,2023-03-11,11,03,2023
70,20230312,2023-03-12,12,03,2023
